region,country,lat,lon,energy_platform,capacity_GW_2025,capacity_GW_2050,capacity_GW_2070,generation_TWh_2025,generation_TWh_2050,generation_TWh_2070,consumption_TWh_2025,consumption_TWh_2050,consumption_TWh_2070,efficiency_pct_2025,efficiency_pct_2050,efficiency_pct_2070,carbon_emission_MtCO2_2025,carbon_emission_MtCO2_2050,carbon_emission_MtCO2_2070,ai_forecast_confidence_pct,notes
North America,Mexico,-52.0232,2.2463,Fusion Reactors,12.79,49.08,84.74,27.48,109.66,198.98,22.63,88.98,183.34,62.41,74.88,94.33,17.07,8.33,4.13,70.12,Fusion Reactors expansion projected with strong AI-backed growth model.
Middle East,Israel,53.828,-49.6773,Fusion Reactors,123.82,385.66,1089.01,381.16,888.79,4287.24,401.94,1065.54,4030.42,41.22,47.48,55.54,22.46,12.14,4.29,71.6,Fusion Reactors expansion projected with strong AI-backed growth model.
North America,USA,66.7509,-128.0715,Wind Turbines,107.25,218.48,338.8,257.61,726.57,1120.05,262.4,679.63,1176.01,42.73,47.91,60.49,312.6,212.92,64.15,79.6,Wind Turbines expansion projected with strong AI-backed growth model.
Africa,Kenya,62.46,-42.0081,Wind Turbines,35.88,113.14,326.78,141.84,393.36,781.57,161.1,385.12,776.31,45.36,56.2,73.37,483.65,209.24,91.88,95.75,Wind Turbines expansion projected with strong AI-backed growth model.
North America,Canada,-21.5562,31.4103,Fusion Reactors,188.7,630.72,1226.37,681.52,1756.2,3694.26,726.77,2088.28,4077.55,49.48,58.9,74.32,8.0,3.54,0.89,91.13,Fusion Reactors expansion projected with strong AI-backed growth model.
North America,Mexico,-33.885,1.7762,Space-based Solar,70.55,177.83,386.42,230.25,495.46,1206.69,274.39,413.94,1010.89,48.88,57.75,69.08,5.51,2.24,0.76,95.54,Space-based Solar expansion projected with strong AI-backed growth model.
Middle East,Qatar,9.2789,-21.0336,Hydrogen Cells,24.51,93.38,202.64,93.95,252.3,442.98,76.61,218.81,481.91,65.26,75.4,89.83,75.1,45.16,8.37,81.85,Hydrogen Cells expansion projected with strong AI-backed growth model.
Europe,Spain,6.6611,142.4618,Tidal Energy,97.55,337.19,537.16,227.66,844.06,1324.85,184.63,859.12,1151.67,66.31,75.86,89.73,164.03,53.09,9.17,77.64,Tidal Energy expansion projected with strong AI-backed growth model.
Oceania,Australia,42.5604,-116.7888,Wind Turbines,59.57,215.3,437.27,194.14,536.7,1454.11,194.88,479.41,1701.84,63.23,74.88,82.01,357.81,153.99,41.01,90.67,Wind Turbines expansion projected with strong AI-backed growth model.
Oceania,New Zealand,-21.5439,-94.7167,Fusion Reactors,169.12,340.73,718.76,374.95,1133.05,2241.82,333.22,1184.32,1980.46,48.27,53.43,62.87,10.45,6.84,2.59,94.96,Fusion Reactors expansion projected with strong AI-backed growth model.
Europe,France,11.2595,-6.2439,Space-based Solar,14.84,31.2,67.66,44.24,117.49,255.32,35.85,111.93,305.71,64.03,78.21,87.59,47.54,24.2,3.98,72.55,Space-based Solar expansion projected with strong AI-backed growth model.
Africa,Kenya,60.3291,-8.5688,Geothermal Plants,18.74,46.67,88.89,67.24,170.12,252.16,54.16,174.33,300.55,62.5,75.22,90.81,57.03,20.17,9.96,95.13,Geothermal Plants expansion projected with strong AI-backed growth model.
South America,Argentina,67.7934,29.4421,Tidal Energy,97.53,224.16,588.64,316.09,522.49,2215.66,264.75,497.11,1889.46,65.4,73.85,80.09,150.95,64.12,30.66,86.34,Tidal Energy expansion projected with strong AI-backed growth model.
South America,Brazil,18.3314,29.475,Wind Turbines,146.54,452.5,1276.0,380.82,1473.75,2827.74,332.6,1467.49,2692.56,43.72,55.3,65.66,342.22,135.87,19.18,79.71,Wind Turbines expansion projected with strong AI-backed growth model.
Middle East,Qatar,19.4937,134.4291,Fusion Reactors,99.92,386.66,940.66,201.72,908.15,1946.81,195.05,937.13,2038.59,55.39,65.78,77.5,32.86,18.37,3.75,97.56,Fusion Reactors expansion projected with strong AI-backed growth model.
Europe,UK,1.5306,41.4085,Wind Turbines,99.91,227.98,534.59,274.73,466.79,1827.47,276.65,475.33,2130.33,49.8,57.19,64.8,447.62,246.61,68.73,71.61,Wind Turbines expansion projected with strong AI-backed growth model.
Europe,Italy,-48.4193,-8.1654,Hydrogen Cells,153.58,335.46,686.61,380.72,754.88,1631.13,310.59,745.8,1658.93,54.85,68.8,78.7,432.59,201.31,59.93,95.09,Hydrogen Cells expansion projected with strong AI-backed growth model.
Europe,UK,-11.997,108.1112,Hydrogen Cells,116.39,397.6,1041.42,352.32,914.92,3561.5,319.9,828.8,3655.38,58.64,65.5,75.48,91.91,55.09,7.58,89.74,Hydrogen Cells expansion projected with strong AI-backed growth model.
North America,Mexico,38.3894,75.448,Geothermal Plants,182.56,435.39,907.13,627.86,1585.87,2891.36,599.9,1385.51,3455.73,57.2,62.43,76.6,180.25,75.45,22.07,80.15,Geothermal Plants expansion projected with strong AI-backed growth model.
Europe,UK,-3.5192,144.8845,Tidal Energy,25.4,51.34,150.7,99.86,120.04,315.87,96.9,121.74,362.56,59.69,69.36,82.11,81.19,45.69,6.58,98.45,Tidal Energy expansion projected with strong AI-backed growth model.
North America,Canada,-47.1249,137.42,Fusion Reactors,138.75,360.68,767.17,519.11,1100.97,2394.74,620.74,1248.0,2100.04,56.43,67.3,78.95,30.83,19.05,6.91,83.68,Fusion Reactors expansion projected with strong AI-backed growth model.
South America,Argentina,50.898,-54.6483,Geothermal Plants,194.11,653.89,1577.41,600.15,2318.43,3413.79,547.23,2711.78,3547.53,42.02,54.19,60.71,113.86,59.58,11.08,77.04,Geothermal Plants expansion projected with strong AI-backed growth model.
Asia,India,17.5039,145.833,Fusion Reactors,91.1,320.22,646.44,277.39,1261.74,1509.71,286.82,1465.35,1244.14,63.78,70.19,78.3,24.79,15.66,2.71,93.99,Fusion Reactors expansion projected with strong AI-backed growth model.
Oceania,Australia,-49.1071,-45.3815,Space-based Solar,139.45,392.25,1126.89,304.22,898.64,3712.53,262.65,920.54,3450.65,43.79,54.0,69.89,45.24,16.48,5.63,83.68,Space-based Solar expansion projected with strong AI-backed growth model.
Europe,Germany,13.7554,-70.7688,Space-based Solar,177.99,362.0,858.57,396.74,945.77,3131.6,359.87,881.17,2915.03,59.33,66.86,84.54,35.57,17.89,4.88,83.21,Space-based Solar expansion projected with strong AI-backed growth model.
Middle East,UAE,-20.0256,123.4182,Solar Farms,95.57,307.88,612.76,203.67,1068.91,2421.6,212.77,1071.31,2653.56,59.98,71.02,88.64,211.06,111.14,28.99,93.41,Solar Farms expansion projected with strong AI-backed growth model.
Africa,Nigeria,23.7209,-119.5114,Hydrogen Cells,90.01,323.47,918.2,265.38,1241.79,2081.58,219.22,1155.37,2375.33,56.67,69.73,80.41,401.17,121.72,47.98,83.11,Hydrogen Cells expansion projected with strong AI-backed growth model.
Africa,Nigeria,-50.9006,-82.2277,Geothermal Plants,147.88,552.8,1426.18,539.98,1626.85,4860.37,451.4,1503.91,5782.48,66.27,74.13,91.18,266.2,127.04,23.92,89.72,Geothermal Plants expansion projected with strong AI-backed growth model.
Oceania,Australia,29.0705,14.628,Geothermal Plants,96.75,209.38,324.33,369.82,684.82,1048.44,413.4,624.71,1066.87,49.57,62.18,72.28,458.79,259.75,126.12,79.66,Geothermal Plants expansion projected with strong AI-backed growth model.
Middle East,Israel,35.4715,-38.3423,Wind Turbines,101.26,203.9,372.88,261.78,521.14,1142.16,261.8,485.14,1241.1,41.14,52.01,58.58,303.74,178.48,59.92,91.33,Wind Turbines expansion projected with strong AI-backed growth model.
Asia,India,-19.1504,-33.3384,Space-based Solar,132.18,354.13,1013.41,443.9,1218.8,2713.34,467.36,1415.47,3154.69,58.46,69.82,75.44,32.21,14.77,6.78,71.51,Space-based Solar expansion projected with strong AI-backed growth model.
Asia,South Korea,47.6464,-140.3598,Hydrogen Cells,35.81,85.52,217.37,138.24,200.8,486.12,147.25,196.56,397.22,54.86,64.06,71.35,381.11,212.53,77.69,72.74,Hydrogen Cells expansion projected with strong AI-backed growth model.
Africa,Egypt,-5.0803,-131.4466,Solar Farms,32.36,122.03,348.44,98.13,271.44,1300.35,87.36,286.85,1437.29,65.65,79.71,97.91,216.96,71.54,12.81,78.8,Solar Farms expansion projected with strong AI-backed growth model.
South America,Argentina,-36.9774,34.5545,Tidal Energy,195.92,646.54,1498.3,507.76,1410.91,3619.93,599.21,1490.94,3734.55,69.83,79.54,99.32,182.09,71.94,13.33,82.41,Tidal Energy expansion projected with strong AI-backed growth model.
North America,Canada,18.6488,-19.5563,Hydrogen Cells,92.46,299.72,840.27,227.3,1136.52,2430.52,195.75,1049.52,2525.71,54.39,60.47,79.43,317.14,187.21,25.65,91.42,Hydrogen Cells expansion projected with strong AI-backed growth model.
Asia,Japan,-42.7034,-81.7038,Wind Turbines,146.5,467.45,764.57,337.3,1795.65,2441.3,306.37,1533.76,2117.8,46.41,59.63,78.38,431.9,130.37,58.19,93.32,Wind Turbines expansion projected with strong AI-backed growth model.
South America,Argentina,44.1764,-7.6499,Wind Turbines,170.08,432.39,1109.47,563.35,1538.36,4424.81,518.01,1780.91,4986.31,64.99,79.35,90.34,208.14,64.09,15.58,73.36,Wind Turbines expansion projected with strong AI-backed growth model.
Oceania,New Zealand,40.2091,139.672,Hydrogen Cells,23.0,75.82,162.78,62.83,155.73,501.8,64.76,144.64,533.32,56.33,67.09,76.44,203.61,86.94,27.3,88.6,Hydrogen Cells expansion projected with strong AI-backed growth model.
Middle East,UAE,69.6812,27.4625,Solar Farms,94.63,251.96,716.24,376.8,764.09,2206.28,383.46,849.67,2504.2,45.19,59.4,78.84,140.74,85.32,30.76,83.09,Solar Farms expansion projected with strong AI-backed growth model.
Oceania,Australia,-47.6695,112.1943,Tidal Energy,173.09,650.77,1654.88,680.58,2410.14,3980.54,783.77,2488.86,4288.4,46.05,59.39,70.21,62.74,19.58,6.62,75.61,Tidal Energy expansion projected with strong AI-backed growth model.
Middle East,Israel,35.3176,-1.1834,Solar Farms,62.99,195.14,447.59,176.03,658.64,1299.27,176.1,778.68,1126.14,48.38,57.28,64.06,199.14,97.96,23.08,74.73,Solar Farms expansion projected with strong AI-backed growth model.
Asia,Indonesia,49.9069,143.2165,Solar Farms,63.29,140.61,318.46,174.42,340.99,1223.09,205.13,327.36,1024.98,42.28,55.44,72.13,333.74,177.94,32.56,73.2,Solar Farms expansion projected with strong AI-backed growth model.
Asia,Indonesia,14.9449,82.7632,Hydrogen Cells,80.47,239.3,557.53,284.47,914.53,1254.83,296.97,883.9,1092.89,63.55,69.56,79.84,84.38,26.12,3.03,73.14,Hydrogen Cells expansion projected with strong AI-backed growth model.
Middle East,Qatar,-40.0763,-73.1353,Geothermal Plants,82.72,274.65,495.09,329.7,776.74,1055.81,310.35,913.8,1026.52,40.49,53.33,72.05,405.0,155.83,31.32,70.09,Geothermal Plants expansion projected with strong AI-backed growth model.
Africa,Kenya,35.1695,-134.2984,Tidal Energy,187.81,686.65,1668.04,455.3,2732.02,5742.53,367.62,2331.71,6150.02,65.54,77.01,94.22,259.05,140.54,40.3,71.09,Tidal Energy expansion projected with strong AI-backed growth model.
Oceania,Australia,-30.0945,134.9156,Solar Farms,144.77,318.8,776.06,430.75,1100.71,1819.0,446.27,1238.3,1908.92,65.96,74.9,91.52,351.38,218.12,81.3,86.1,Solar Farms expansion projected with strong AI-backed growth model.
Middle East,Qatar,-43.7978,-113.4125,Solar Farms,27.45,71.64,126.93,68.61,201.77,480.95,59.3,211.34,462.79,44.96,58.63,73.53,298.61,121.68,35.2,96.35,Solar Farms expansion projected with strong AI-backed growth model.
Europe,Germany,20.7848,-55.9527,Hydrogen Cells,103.54,413.62,1032.31,411.78,1292.81,2270.65,417.6,1109.45,2272.16,56.08,61.74,75.97,185.8,78.82,33.07,91.19,Hydrogen Cells expansion projected with strong AI-backed growth model.
North America,USA,-29.574,-149.3469,Tidal Energy,141.13,496.56,1037.49,311.7,1952.45,3912.57,341.51,2016.94,3301.14,68.58,74.64,93.38,161.41,103.57,18.81,98.87,Tidal Energy expansion projected with strong AI-backed growth model.
Middle East,Saudi Arabia,-59.8624,0.1854,Hydrogen Cells,198.9,519.01,1276.12,543.94,1639.98,3146.73,601.89,1519.06,3171.37,49.73,59.18,65.59,172.64,97.15,11.02,81.94,Hydrogen Cells expansion projected with strong AI-backed growth model.
Middle East,Saudi Arabia,11.6727,19.9735,Fusion Reactors,56.38,209.31,463.15,114.96,476.71,950.39,97.83,525.37,1092.75,44.34,58.1,76.34,47.01,30.55,13.83,87.43,Fusion Reactors expansion projected with strong AI-backed growth model.
Africa,South Africa,-22.1901,53.9105,Geothermal Plants,158.62,486.91,1455.1,351.38,1299.78,5133.26,346.74,1201.81,5742.3,51.97,57.43,73.84,371.09,214.2,45.35,74.84,Geothermal Plants expansion projected with strong AI-backed growth model.
Middle East,Qatar,29.0655,77.5981,Hydrogen Cells,120.12,267.6,738.47,272.91,814.59,2356.78,227.7,767.91,2700.23,46.29,56.42,69.18,56.51,18.57,8.1,91.8,Hydrogen Cells expansion projected with strong AI-backed growth model.
Middle East,Qatar,44.0504,-136.5042,Wind Turbines,162.49,470.23,1181.78,472.52,1474.68,4227.71,546.26,1430.1,4478.5,59.55,67.64,87.12,370.26,200.88,41.0,86.62,Wind Turbines expansion projected with strong AI-backed growth model.
Oceania,New Zealand,-1.4193,45.7237,Space-based Solar,41.68,100.01,258.35,127.67,251.24,847.89,136.27,301.24,782.41,47.42,59.01,67.0,38.26,22.41,10.84,89.87,Space-based Solar expansion projected with strong AI-backed growth model.
Middle East,UAE,35.7556,113.364,Hydrogen Cells,37.61,127.04,367.64,112.36,490.73,1311.49,98.13,463.52,1175.02,49.12,62.72,77.25,153.26,56.19,18.34,86.22,Hydrogen Cells expansion projected with strong AI-backed growth model.
Middle East,Israel,-7.9575,-10.727,Geothermal Plants,72.06,154.66,264.08,258.21,530.81,751.95,293.03,523.23,659.07,50.03,58.82,72.33,97.27,38.82,17.82,70.59,Geothermal Plants expansion projected with strong AI-backed growth model.
North America,Mexico,-2.7362,12.2124,Space-based Solar,153.07,547.62,1190.97,406.59,1500.6,3093.36,462.06,1536.8,3217.08,51.89,57.83,74.19,15.81,8.28,1.87,92.69,Space-based Solar expansion projected with strong AI-backed growth model.
South America,Brazil,4.6652,88.0759,Solar Farms,148.4,344.38,797.9,501.53,1027.58,2385.54,512.09,846.21,2442.93,55.74,63.57,79.49,357.36,188.08,20.98,94.79,Solar Farms expansion projected with strong AI-backed growth model.
North America,Canada,32.9286,-109.8436,Wind Turbines,113.19,404.82,1096.96,246.75,1574.35,3618.0,248.03,1445.29,4209.86,66.31,72.21,87.24,254.68,101.64,45.65,95.27,Wind Turbines expansion projected with strong AI-backed growth model.
Asia,South Korea,51.2241,75.2939,Space-based Solar,144.43,554.03,1064.0,495.83,1715.36,2264.16,497.03,1617.58,2126.68,58.08,68.54,86.07,1.02,0.56,0.1,79.42,Space-based Solar expansion projected with strong AI-backed growth model.
Middle East,UAE,29.2406,99.4755,Space-based Solar,51.42,106.66,191.7,121.45,281.35,620.89,119.48,250.71,525.95,51.01,57.89,69.52,42.52,20.55,7.12,92.1,Space-based Solar expansion projected with strong AI-backed growth model.
Europe,Italy,-52.0028,-141.6516,Geothermal Plants,59.03,129.08,228.46,211.89,280.47,776.84,235.92,271.27,633.21,59.88,69.91,88.26,353.01,154.08,32.01,89.82,Geothermal Plants expansion projected with strong AI-backed growth model.
Middle East,Israel,40.4685,-81.0029,Solar Farms,123.35,430.35,1136.89,485.65,1429.87,3704.97,399.09,1270.31,4278.68,67.17,75.08,83.33,117.09,42.99,13.78,84.44,Solar Farms expansion projected with strong AI-backed growth model.
Asia,India,9.105,7.4301,Geothermal Plants,169.41,656.71,1062.57,479.8,1813.53,4083.73,523.03,1819.15,4421.96,42.93,53.06,62.66,317.99,165.46,18.17,80.41,Geothermal Plants expansion projected with strong AI-backed growth model.
South America,Brazil,62.5365,136.0515,Space-based Solar,194.69,572.44,1496.43,588.93,1250.3,3060.39,606.96,1476.19,3365.86,47.57,60.81,79.62,24.1,9.8,4.03,78.55,Space-based Solar expansion projected with strong AI-backed growth model.
Europe,France,28.0877,0.8213,Hydrogen Cells,149.22,569.78,1146.27,364.4,1954.19,4278.55,293.05,1660.21,4046.21,46.56,58.83,76.71,496.57,182.26,23.35,83.76,Hydrogen Cells expansion projected with strong AI-backed growth model.
South America,Argentina,16.3058,143.1973,Wind Turbines,34.46,99.01,243.9,79.96,234.65,548.16,83.96,217.08,531.7,65.44,71.64,79.87,183.62,124.17,27.36,97.72,Wind Turbines expansion projected with strong AI-backed growth model.
North America,Mexico,0.8551,-22.6603,Space-based Solar,14.07,40.89,121.2,47.9,123.18,386.08,45.77,136.29,366.16,45.08,59.18,67.95,0.54,0.34,0.1,70.09,Space-based Solar expansion projected with strong AI-backed growth model.
Asia,China,1.2272,146.4443,Hydrogen Cells,94.59,357.54,622.33,260.95,1073.9,2029.21,308.3,928.02,1760.28,65.3,78.92,97.87,171.32,118.07,36.36,93.34,Hydrogen Cells expansion projected with strong AI-backed growth model.
Oceania,Australia,-2.1121,79.4799,Geothermal Plants,162.63,366.66,856.24,615.96,928.54,3090.07,633.53,828.65,3416.47,55.81,61.88,80.01,57.19,37.54,3.81,98.4,Geothermal Plants expansion projected with strong AI-backed growth model.
Asia,China,5.7026,-135.0681,Hydrogen Cells,39.38,136.01,404.83,146.71,282.37,1164.7,149.32,260.42,1030.22,55.64,67.43,81.22,351.97,118.67,52.01,75.22,Hydrogen Cells expansion projected with strong AI-backed growth model.
Oceania,New Zealand,-13.5681,-34.6727,Fusion Reactors,89.95,329.32,806.69,180.11,1176.39,2833.34,196.12,1350.27,2403.03,42.95,57.28,76.68,40.88,18.52,2.19,83.75,Fusion Reactors expansion projected with strong AI-backed growth model.
Middle East,UAE,-57.0302,37.1464,Wind Turbines,39.11,84.95,131.65,139.82,205.4,310.49,160.82,184.17,362.5,59.89,70.52,75.54,332.52,191.34,44.84,70.8,Wind Turbines expansion projected with strong AI-backed growth model.
North America,USA,-49.4859,-128.5013,Fusion Reactors,74.49,198.55,566.49,285.1,527.82,1960.17,231.42,583.09,1571.91,51.69,58.25,76.9,26.65,16.58,4.8,83.71,Fusion Reactors expansion projected with strong AI-backed growth model.
South America,Brazil,-19.976,-103.8946,Tidal Energy,24.79,94.23,203.14,85.09,292.18,513.02,89.22,265.52,567.31,44.92,51.82,69.55,412.55,189.44,55.88,89.07,Tidal Energy expansion projected with strong AI-backed growth model.
Asia,Japan,52.5989,133.073,Solar Farms,150.94,520.03,799.07,455.16,1948.02,1753.06,386.44,2035.6,1887.85,57.56,66.18,73.85,345.35,147.61,43.29,85.92,Solar Farms expansion projected with strong AI-backed growth model.
Middle East,Saudi Arabia,-41.4038,126.7136,Wind Turbines,17.89,55.89,128.85,49.31,174.47,510.85,40.36,209.12,467.74,55.91,62.41,76.04,279.68,176.29,25.52,95.32,Wind Turbines expansion projected with strong AI-backed growth model.
Asia,India,34.1203,-80.2108,Tidal Energy,13.31,40.41,73.79,43.94,82.11,162.05,45.06,94.21,181.73,68.76,76.45,86.24,105.8,64.26,7.12,86.73,Tidal Energy expansion projected with strong AI-backed growth model.
Middle East,Israel,-58.5107,1.496,Hydrogen Cells,68.15,204.9,424.69,159.09,609.42,1593.95,178.97,567.42,1730.55,63.0,75.32,86.65,474.73,204.91,81.8,86.57,Hydrogen Cells expansion projected with strong AI-backed growth model.
Europe,Spain,0.1354,-18.8892,Geothermal Plants,16.17,62.34,166.05,38.88,225.39,589.6,33.85,195.71,614.41,57.81,66.56,75.48,341.78,159.78,53.88,91.81,Geothermal Plants expansion projected with strong AI-backed growth model.
Asia,India,-42.4728,-119.2852,Wind Turbines,181.79,592.43,1473.96,529.12,1505.41,3305.59,502.06,1551.54,3139.78,50.91,57.99,70.16,165.58,63.14,18.39,82.48,Wind Turbines expansion projected with strong AI-backed growth model.
Oceania,Australia,25.6767,20.2667,Hydrogen Cells,83.37,194.52,312.57,325.65,637.12,810.5,300.16,690.95,956.03,47.68,59.6,76.51,253.9,129.55,21.55,95.88,Hydrogen Cells expansion projected with strong AI-backed growth model.
North America,USA,61.4927,90.5015,Solar Farms,26.32,80.3,137.24,64.5,309.56,540.06,77.36,370.29,584.47,42.9,52.09,64.99,449.71,302.22,103.16,92.35,Solar Farms expansion projected with strong AI-backed growth model.
Middle East,UAE,37.0746,-33.878,Solar Farms,42.61,133.96,295.24,104.06,436.31,1091.9,108.74,516.74,1112.77,57.51,63.48,73.54,428.31,262.63,94.3,72.55,Solar Farms expansion projected with strong AI-backed growth model.
North America,USA,-33.5338,58.084,Space-based Solar,10.9,26.37,61.85,34.59,80.09,208.07,40.43,64.1,184.39,64.87,73.02,85.52,33.16,21.98,10.09,78.03,Space-based Solar expansion projected with strong AI-backed growth model.
North America,Mexico,-22.7426,133.986,Wind Turbines,38.97,149.72,327.97,109.8,443.57,1305.57,106.87,391.1,1500.23,58.99,66.8,76.29,198.79,66.42,30.7,93.38,Wind Turbines expansion projected with strong AI-backed growth model.
Oceania,New Zealand,-30.1036,-73.0448,Space-based Solar,190.89,629.8,1340.54,604.93,1703.2,3540.62,663.59,1831.75,3182.7,48.66,60.36,66.11,9.09,5.4,2.06,79.11,Space-based Solar expansion projected with strong AI-backed growth model.
Africa,Nigeria,-0.4364,-121.6277,Wind Turbines,33.51,72.36,158.83,118.74,187.89,602.52,106.62,184.83,515.13,41.04,46.73,58.51,58.16,26.51,12.93,83.09,Wind Turbines expansion projected with strong AI-backed growth model.
South America,Chile,16.4364,17.0436,Hydrogen Cells,26.72,97.22,239.53,94.6,265.21,492.69,106.86,215.42,524.21,65.9,79.01,84.25,66.34,44.55,12.39,82.64,Hydrogen Cells expansion projected with strong AI-backed growth model.
Middle East,Israel,37.9627,32.0962,Space-based Solar,101.71,375.31,888.92,285.56,826.27,2765.95,256.87,799.02,2796.79,63.5,73.14,89.03,14.82,9.08,4.17,73.07,Space-based Solar expansion projected with strong AI-backed growth model.
Europe,Germany,-14.6851,22.9757,Space-based Solar,186.2,398.34,1156.74,496.1,848.42,2355.2,413.57,711.26,1939.81,51.54,57.74,69.27,29.64,14.94,2.81,95.24,Space-based Solar expansion projected with strong AI-backed growth model.
South America,Chile,-15.686,-134.5657,Solar Farms,190.13,574.07,1406.61,705.14,1944.46,3059.99,722.34,1910.47,2943.73,43.05,53.02,71.73,268.85,96.18,13.81,95.71,Solar Farms expansion projected with strong AI-backed growth model.
Africa,South Africa,3.5665,16.1875,Hydrogen Cells,21.64,64.78,119.57,45.04,131.79,245.63,53.61,127.29,227.87,49.8,63.6,69.3,375.01,121.55,55.86,79.99,Hydrogen Cells expansion projected with strong AI-backed growth model.
Middle East,UAE,-14.5923,-42.5467,Hydrogen Cells,101.71,359.85,594.14,291.0,1063.12,1501.27,271.46,1211.32,1722.33,55.75,64.23,70.81,359.3,156.5,51.09,73.99,Hydrogen Cells expansion projected with strong AI-backed growth model.
Asia,South Korea,30.4344,56.5529,Solar Farms,46.44,179.36,444.64,150.18,571.34,1566.01,138.1,623.91,1523.79,45.5,56.13,61.99,66.12,39.06,11.9,83.84,Solar Farms expansion projected with strong AI-backed growth model.
South America,Brazil,47.6924,38.749,Hydrogen Cells,195.97,488.03,1208.82,399.26,1296.39,3150.68,416.71,1265.74,3257.96,46.95,60.04,68.03,221.01,100.44,16.43,78.91,Hydrogen Cells expansion projected with strong AI-backed growth model.
Africa,South Africa,-14.289,-63.7615,Solar Farms,18.41,39.58,80.94,51.41,88.39,321.45,55.04,77.94,282.03,55.01,67.52,83.66,147.84,63.62,6.92,98.07,Solar Farms expansion projected with strong AI-backed growth model.
Oceania,New Zealand,-14.4104,139.3242,Tidal Energy,107.74,357.47,803.65,260.57,1024.97,1899.5,235.19,1166.88,1866.48,63.35,73.63,93.58,354.53,236.42,46.14,89.49,Tidal Energy expansion projected with strong AI-backed growth model.
Middle East,Qatar,-15.9764,12.2448,Hydrogen Cells,91.36,292.57,845.64,359.14,1069.14,2709.73,374.33,888.86,2929.39,67.4,75.05,86.58,113.69,57.05,7.86,89.2,Hydrogen Cells expansion projected with strong AI-backed growth model.
Middle East,Saudi Arabia,-52.8564,103.007,Wind Turbines,106.89,354.43,536.74,359.81,1165.76,1503.21,413.98,1245.81,1481.18,44.82,59.52,78.58,73.43,24.74,11.32,74.86,Wind Turbines expansion projected with strong AI-backed growth model.
North America,Mexico,38.9074,-94.239,Hydrogen Cells,54.41,142.36,339.05,197.38,386.92,1265.11,203.37,322.12,1409.67,53.24,62.92,80.96,300.7,139.82,49.5,83.93,Hydrogen Cells expansion projected with strong AI-backed growth model.
